Date,Campaign,Impressions,Clicks
22-05-2023,Campaign C,1136,12
22-05-2023,Campaign E,2231,80
22-05-2023,Campaign I,1106,31
22-05-2023,Campaign G,2107,8
23-05-2023,Campaign J,2402,75
23-05-2023,Campaign M,2300,29
23-05-2023,Campaign F,1537,19
23-05-2023,Campaign H,985,30
23-05-2023,Campaign K,2374,31
23-05-2023,Campaign L,721,18
23-05-2023,Campaign C,1110,11
23-05-2023,Campaign E,2363,63
23-05-2023,Campaign I,1156,18
23-05-2023,Campaign G,2288,4
24-05-2023,Campaign J,2357,81
24-05-2023,Campaign M,2568,28
24-05-2023,Campaign F,1517,24
24-05-2023,Campaign H,765,26
24-05-2023,Campaign K,2090,28
24-05-2023,Campaign L,881,10
24-05-2023,Campaign C,1141,21
24-05-2023,Campaign E,2462,81
24-05-2023,Campaign I,1425,24
24-05-2023,Campaign G,2248,9
25-05-2023,Campaign J,2158,65
25-05-2023,Campaign M,2649,37
25-05-2023,Campaign F,1838,27
25-05-2023,Campaign H,941,27
25-05-2023,Campaign K,2232,33
25-05-2023,Campaign L,996,30
25-05-2023,Campaign C,926,11
25-05-2023,Campaign E,2048,55
25-05-2023,Campaign I,1249,23
25-05-2023,Campaign G,2279,8
26-05-2023,Campaign J,2461,76
26-05-2023,Campaign M,2430,35
26-05-2023,Campaign F,1661,32
26-05-2023,Campaign H,848,28
26-05-2023,Campaign K,2438,36
26-05-2023,Campaign L,919,20
26-05-2023,Campaign C,1149,12
26-05-2023,Campaign E,2383,84
26-05-2023,Campaign I,1344,20
26-05-2023,Campaign G,2255,9
27-05-2023,Campaign J,2286,54
27-05-2023,Campaign M,2540,41
27-05-2023,Campaign F,1731,31
27-05-2023,Campaign H,912,21
27-05-2023,Campaign K,2169,27
27-05-2023,Campaign L,883,34
27-05-2023,Campaign C,915,11
27-05-2023,Campaign N,2367,20
27-05-2023,Campaign I,1129,18
27-05-2023,Campaign G,2271,8
28-05-2023,Campaign J,2249,67
28-05-2023,Campaign M,2849,34
28-05-2023,Campaign H,959,26
28-05-2023,Campaign K,2210,26
28-05-2023,Campaign L,771,25
28-05-2023,Campaign C,766,10
28-05-2023,Campaign N,2082,23
28-05-2023,Campaign I,1358,29
28-05-2023,Campaign G,2216,4
29-05-2023,Campaign J,2338,67
29-05-2023,Campaign M,2341,34
29-05-2023,Campaign H,861,25
29-05-2023,Campaign K,2086,31
29-05-2023,Campaign L,777,21
29-05-2023,Campaign C,1072,9
29-05-2023,Campaign N,2059,14
29-05-2023,Campaign I,1259,35
29-05-2023,Campaign G,2292,4
30-05-2023,Campaign J,2179,79
30-05-2023,Campaign M,2591,24
30-05-2023,Campaign K,2568,35
30-05-2023,Campaign L,917,24
30-05-2023,Campaign C,882,11
30-05-2023,Campaign N,2122,25
30-05-2023,Campaign I,1082,21
30-05-2023,Campaign G,2259,12
31-05-2023,Campaign J,2238,64
31-05-2023,Campaign M,2676,32
31-05-2023,Campaign K,2210,35
31-05-2023,Campaign L,816,22
31-05-2023,Campaign C,823,9
31-05-2023,Campaign N,2049,12
31-05-2023,Campaign I,1096,20
31-05-2023,Campaign G,2351,6
01-06-2023,Campaign J,2221,60
01-06-2023,Campaign M,2842,39
01-06-2023,Campaign K,2184,28
01-06-2023,Campaign L,739,18
01-06-2023,Campaign C,983,8
01-06-2023,Campaign N,2289,25
01-06-2023,Campaign I,1081,18
02-06-2023,Campaign J,2465,63
02-06-2023,Campaign M,2312,29
02-06-2023,Campaign K,2675,41
02-06-2023,Campaign L,1013,20
02-06-2023,Campaign C,945,16
02-06-2023,Campaign N,2126,20
02-06-2023,Campaign I,1322,24
03-06-2023,Campaign J,2227,82
03-06-2023,Campaign M,2801,29
03-06-2023,Campaign K,2309,30
03-06-2023,Campaign L,708,25
03-06-2023,Campaign C,996,17
03-06-2023,Campaign N,2211,16
03-06-2023,Campaign I,1145,19
04-06-2023,Campaign J,2247,64
04-06-2023,Campaign M,2245,25
04-06-2023,Campaign K,2546,36
04-06-2023,Campaign L,737,24
04-06-2023,Campaign C,958,9
04-06-2023,Campaign N,1970,16
04-06-2023,Campaign I,1313,31
05-06-2023,Campaign J,2279,64
05-06-2023,Campaign M,2898,37
05-06-2023,Campaign K,2332,32
05-06-2023,Campaign L,779,20
05-06-2023,Campaign C,996,14
05-06-2023,Campaign N,2110,19
05-06-2023,Campaign I,1029,19
06-06-2023,Campaign J,2306,64
06-06-2023,Campaign M,2575,27
06-06-2023,Campaign K,2439,26
06-06-2023,Campaign L,958,29
06-06-2023,Campaign N,2000,18
06-06-2023,Campaign I,1326,36
07-06-2023,Campaign J,2078,56
07-06-2023,Campaign M,2561,39
07-06-2023,Campaign K,2265,23
07-06-2023,Campaign L,911,25
07-06-2023,Campaign N,2040,26
07-06-2023,Campaign I,1640,40
08-06-2023,Campaign J,1960,44
08-06-2023,Campaign M,2777,29
08-06-2023,Campaign K,2244,24
08-06-2023,Campaign L,918,28
08-06-2023,Campaign N,2040,21
08-06-2023,Campaign I,1273,27
09-06-2023,Campaign J,2245,61
09-06-2023,Campaign M,2800,38
09-06-2023,Campaign K,2198,36
09-06-2023,Campaign L,840,22
09-06-2023,Campaign N,2091,18
09-06-2023,Campaign I,1173,23
10-06-2023,Campaign J,2398,79
10-06-2023,Campaign M,2200,30
10-06-2023,Campaign K,2214,30
10-06-2023,Campaign L,870,30
10-06-2023,Campaign N,2248,16
10-06-2023,Campaign I,1131,28
11-06-2023,Campaign J,2031,65
11-06-2023,Campaign M,2577,39
11-06-2023,Campaign K,2244,30
11-06-2023,Campaign L,828,23
11-06-2023,Campaign N,2109,15
11-06-2023,Campaign I,1173,24
12-06-2023,Campaign J,2139,71
12-06-2023,Campaign M,2803,35
12-06-2023,Campaign K,2265,41
12-06-2023,Campaign L,926,30
12-06-2023,Campaign N,1942,18
13-06-2023,Campaign J,2350,68
13-06-2023,Campaign M,2923,35
13-06-2023,Campaign K,2388,34
13-06-2023,Campaign L,805,17
13-06-2023,Campaign N,2286,13
14-06-2023,Campaign J,2143,59
14-06-2023,Campaign M,2570,27
14-06-2023,Campaign K,2013,19
14-06-2023,Campaign L,998,34
14-06-2023,Campaign N,2120,12
15-06-2023,Campaign J,2329,65
15-06-2023,Campaign M,2700,45
15-06-2023,Campaign K,2038,21
15-06-2023,Campaign L,868,20
15-06-2023,Campaign N,2154,24
16-06-2023,Campaign J,1921,56
16-06-2023,Campaign M,2719,37
16-06-2023,Campaign K,2259,28
16-06-2023,Campaign L,1001,35
16-06-2023,Campaign N,1881,19
17-06-2023,Campaign J,2331,66
17-06-2023,Campaign M,2670,31
17-06-2023,Campaign K,2549,32
17-06-2023,Campaign L,746,23
17-06-2023,Campaign N,2232,14
18-06-2023,Campaign M,2489,29
18-06-2023,Campaign K,2440,39
18-06-2023,Campaign L,839,17
18-06-2023,Campaign N,2120,19
19-06-2023,Campaign M,2927,40
19-06-2023,Campaign K,2129,26
19-06-2023,Campaign L,808,22
19-06-2023,Campaign N,1841,20
20-06-2023,Campaign M,2772,34
20-06-2023,Campaign K,2192,29
20-06-2023,Campaign L,821,24
20-06-2023,Campaign N,2342,20
21-06-2023,Campaign M,2916,35
21-06-2023,Campaign K,2369,30
21-06-2023,Campaign L,751,27
21-06-2023,Campaign N,2171,10
22-06-2023,Campaign M,2773,30
22-06-2023,Campaign L,774,17
22-06-2023,Campaign N,1943,16
23-06-2023,Campaign M,2548,35
23-06-2023,Campaign L,934,29
23-06-2023,Campaign N,2049,18
24-06-2023,Campaign M,2941,36
24-06-2023,Campaign L,1082,32
24-06-2023,Campaign N,2172,17
25-06-2023,Campaign M,2729,32
25-06-2023,Campaign L,836,20
25-06-2023,Campaign N,1987,12
26-06-2023,Campaign M,2719,34
26-06-2023,Campaign L,749,22
26-06-2023,Campaign N,2211,26
27-06-2023,Campaign L,819,25
27-06-2023,Campaign N,2430,17
28-06-2023,Campaign L,920,18
28-06-2023,Campaign N,2142,19
29-06-2023,Campaign L,911,31
29-06-2023,Campaign N,2078,18
30-06-2023,Campaign L,889,18
01-07-2023,Campaign L,844,22
02-07-2023,Campaign L,1038,26
03-07-2023,Campaign L,935,20
04-07-2023,Campaign L,911,31
05-07-2023,Campaign L,994,36
